,title,company,location,job_desc,date_posted,date_scrapped,salary,job_url
90,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
91,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
92,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
93,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
94,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
95,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
96,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
97,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
98,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
99,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
100,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
101,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
102,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
103,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
104,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
105,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
106,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
107,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
108,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
109,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
110,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
111,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
112,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
113,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
114,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
115,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
116,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
117,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
118,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
119,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
120,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
121,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
122,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
